Dicom IDs,Head_shape,Acceleration,coil_type,Tongue,Velum,Velopharynx,Oropharynx,Hypopharynx,Trachea,Overall quality,Rater
27,Large,AP_2,Airway,3,4,4,4,3,4,4,junjie
37,Large,AP_3,Airway,3,3,3,3,2,4,3,junjie
10,Large,AP_4,Airway,2,2,1,1,2,3,1,junjie
15,Large,SI_2,Airway,3,3,4,4,3,4,4,junjie
3,Large,SI_3,Airway,3,3,3,3,3,3,3,junjie
21,Large,SI_4,Airway,2,2,2,2,3,3,2,junjie
2,Large,AP_2,Head,2,2,3,3,3,2,3,junjie
7,Large,AP_3,Head,3,2,3,3,2,1,3,junjie
33,Large,AP_4,Head,2,3,3,3,1,1,2,junjie
30,Large,SI_2,Head,4,4,4,4,3,3,4,junjie
32,Large,SI_3,Head,2,4,3,2,1,1,2,junjie
19,Large,SI_4,Head,2,3,2,1,1,1,1,junjie
13,Large,AP_2,Head-neck,3,3,4,3,3,2,3,junjie
12,Large,AP_3,Head-neck,3,2,3,4,4,4,4,junjie
6,Large,AP_4,Head-neck,1,1,1,2,3,2,2,junjie
28,Large,SI_2,Head-neck,4,4,4,4,4,4,4,junjie
25,Large,SI_3,Head-neck,4,4,4,1,1,3,2,junjie
38,Large,SI_4,Head-neck,2,1,1,1,1,1,1,junjie
104,Large,2x2,Airway,3,3,3,2,4,4,3,junjie
130,Large,2x3,Airway,1,1,1,1,2,2,1,junjie
101,Large,3x2,Airway,2,2,2,1,2,3,2,junjie
99,Large,4x2,Airway,1,1,1,1,1,1,1,junjie
94,Large,2x2,Head,2,3,3,3,2,2,2,junjie
112,Large,2x3,Head,2,3,3,2,1,1,2,junjie
129,Large,3x2,Head,1,3,3,1,1,1,1,junjie
121,Large,4x2,Head,1,2,1,1,1,1,1,junjie
105,Large,2x2,Head-neck,3,4,4,4,4,3,4,junjie
118,Large,2x3,Head-neck,3,4,4,4,3,3,3,junjie
107,Large,3x2,Head-neck,1,1,3,1,1,1,1,junjie
109,Large,4x2,Head-neck,1,1,1,1,1,1,1,junjie
34,Medium,AP_2,Airway,3,4,4,4,3,4,3,junjie
39,Medium,AP_3,Airway,3,4,3,3,2,3,3,junjie
20,Medium,AP_4,Airway,3,3,3,2,2,3,3,junjie
23,Medium,SI_2,Airway,4,4,4,4,4,4,4,junjie
36,Medium,SI_3,Airway,3,4,4,4,3,4,4,junjie
4,Medium,SI_4,Airway,3,3,4,3,3,3,3,junjie
11,Medium,AP_2,Head,4,4,4,4,3,3,4,junjie
14,Medium,AP_3,Head,3,4,4,3,2,3,3,junjie
8,Medium,AP_4,Head,3,3,3,3,2,3,3,junjie
35,Medium,SI_2,Head,3,4,4,2,3,3,3,junjie
9,Medium,SI_3,Head,4,4,4,4,2,2,3,junjie
18,Medium,SI_4,Head,2,3,2,2,1,1,2,junjie
29,Medium,AP_2,Head-neck,3,3,4,4,3,4,3,junjie
22,Medium,AP_3,Head-neck,2,2,1,1,1,3,2,junjie
26,Medium,AP_4,Head-neck,1,1,1,1,1,3,1,junjie
17,Medium,SI_2,Head-neck,4,4,4,4,4,4,4,junjie
31,Medium,SI_3,Head-neck,2,1,2,1,1,2,1,junjie
5,Medium,SI_4,Head-neck,1,1,1,1,1,1,1,junjie
124,Medium,2x2,Airway,4,4,4,4,3,4,4,junjie
100,Medium,2x3,Airway,2,3,3,3,2,2,2,junjie
93,Medium,3x2,Airway,2,4,3,2,3,3,3,junjie
92,Medium,4x2,Airway,1,1,1,1,1,2,1,junjie
120,Medium,2x2,Head,4,4,4,4,2,3,3,junjie
128,Medium,2x3,Head,2,4,4,3,3,2,3,junjie
97,Medium,3x2,Head,2,2,2,1,1,1,1,junjie
122,Medium,4x2,Head,1,2,2,2,1,1,1,junjie
102,Medium,2x2,Head-neck,3,4,4,4,3,3,3,junjie
116,Medium,2x3,Head-neck,2,3,3,3,1,1,1,junjie
114,Medium,3x2,Head-neck,1,1,1,1,1,1,1,junjie
108,Medium,4x2,Head-neck,1,1,1,1,1,1,1,junjie
82,Small,AP_2,Airway,3,4,4,4,4,4,4,junjie
75,Small,AP_3,Airway,4,4,4,3,3,3,4,junjie
79,Small,AP_4,Airway,3,3,3,2,2,2,2,junjie
88,Small,SI_2,Airway,4,4,4,4,3,4,4,junjie
80,Small,SI_3,Airway,3,4,4,4,4,4,4,junjie
76,Small,SI_4,Airway,4,4,4,3,1,3,3,junjie
73,Small,AP_2,Head,3,4,4,3,2,2,3,junjie
81,Small,AP_3,Head,3,4,4,2,2,3,3,junjie
90,Small,AP_4,Head,2,3,3,3,1,1,2,junjie
84,Small,SI_2,Head,4,4,4,4,4,4,4,junjie
